FA,CAA,CEXA,CHC,CHH,CAMG,COND,CECN,SEP,CE,tipofalla
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,6
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,7
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,1
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S4,S5,S5,S5,S5,S5,0
S5,S5,S5,S5,S4,S5,S5,S5,S5,S5,0
